stat_id,game_id,player_id,team_id,minutes_played,points,rebounds_off,rebounds_def,assists,steals,blocks,turnovers,fouls,fgm,fga,fg3m,fg3a,ftm,fta,plus_minus,is_starter
4245,158,2057,2,24.2,10,1,5,2,1,1,1,0,5,11,0,3,0,0,-6,t
4246,158,4987,2,33.0,16,8,5,1,2,1,2,1,8,11,0,0,0,1,20,t
4247,158,4049,2,34.1,20,0,3,4,0,0,8,1,8,15,2,3,2,2,9,t
4248,158,4205,2,34.5,13,1,2,6,3,1,0,1,5,12,1,4,2,4,19,t
4249,158,3814,2,32.6,15,1,2,1,3,1,2,5,5,9,2,4,3,4,13,f
4250,158,2617,2,19.5,6,0,1,0,0,1,0,2,2,6,2,3,0,0,3,f
4251,158,3310,2,7.2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,f
4252,158,4931,2,17.2,2,0,3,0,0,0,0,0,1,5,0,4,0,0,4,f
4253,158,3688,2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4254,158,1382,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4255,158,1477,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4256,158,1959,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4257,158,3499,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4258,159,1160,21,34.0,27,0,5,2,0,0,1,3,8,13,2,7,9,10,9,t
4259,159,284,21,33.6,14,2,5,1,0,0,2,4,5,9,1,3,3,4,11,t
4260,159,1361,21,20.6,9,2,4,2,1,0,1,2,4,7,0,1,1,2,-11,t
4261,159,1594,21,36.4,24,0,7,5,1,2,5,2,7,19,2,7,8,11,5,t
4262,159,1590,21,30.7,7,5,7,9,1,0,5,3,3,10,1,3,0,0,3,t
4263,159,3627,21,20.0,3,0,4,3,1,0,0,1,1,8,1,5,0,0,4,f
4264,159,3890,21,11.3,2,3,2,0,1,0,0,3,1,4,0,2,0,0,-4,f
4265,159,2829,21,14.0,6,1,3,0,0,1,1,3,3,7,0,1,0,0,-1,f
4266,159,4948,21,20.8,4,0,3,0,0,0,2,1,2,4,0,1,0,0,-1,f
4267,159,3258,21,13.2,12,0,1,1,1,1,1,1,3,4,3,3,3,3,17,f
4268,159,1079,21,2.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,f
4269,159,2241,21,2.9,0,0,1,0,0,0,0,0,0,2,0,1,0,0,6,f
4270,159,2561,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4271,159,2815,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4272,159,3893,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4273,159,4449,19,29.4,3,1,2,5,2,0,1,3,0,5,0,1,3,4,-19,t
4274,159,1881,19,14.9,4,0,3,1,1,0,1,3,2,5,0,1,0,0,-1,t
4275,159,4630,19,39.0,25,3,12,2,1,1,0,2,9,20,1,3,6,7,-2,t
4276,159,56,19,34.5,33,3,7,4,2,1,0,2,10,22,4,10,9,11,4,t
4277,159,1651,19,33.8,18,2,0,4,1,0,0,1,7,18,3,9,1,3,12,t
4278,159,1911,19,8.9,5,2,1,0,0,2,2,1,2,2,0,0,1,2,-6,f
4279,159,2355,19,31.6,4,4,2,4,2,1,3,4,1,7,0,1,2,3,8,f
4280,159,4012,19,19.0,1,0,3,2,1,0,1,2,0,3,0,3,1,2,1,f
4281,159,2701,19,12.8,2,0,1,2,2,0,1,1,1,7,0,3,0,0,-20,f
4282,159,3245,19,16.1,5,4,0,0,1,0,0,1,2,8,1,4,0,0,-17,f
4283,159,1960,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4284,159,2855,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
4285,160,2025,12,35.0,6,0,2,1,0,0,0,4,2,8,2,6,0,0,7,t
4286,160,3973,12,33.1,20,4,15,2,1,1,3,3,9,14,1,2,1,1,-1,t
4287,160,4606,12,30.9,13,4,4,0,0,6,3,4,4,8,2,3,3,4,-2,t
4288,160,1196,12,21.2,6,0,3,1,0,0,1,1,2,9,2,7,0,0,-8,t
