history_id,player_id,team_id,season_id,start_date,end_date,contract_type
2529,4775,24,4,2024-10-22,,Standard
2530,4775,13,5,2025-10-21,,Standard
2531,488,27,2,2022-10-18,,Standard
2532,488,27,3,2023-10-24,,Standard
2533,488,27,4,2024-10-22,,Standard
2534,488,30,5,2025-10-21,,Standard
2535,4826,27,2,2022-10-18,,Standard
2536,4826,27,3,2023-10-24,,Standard
2537,4826,27,4,2024-10-22,,Standard
2538,4826,25,5,2025-10-21,,Standard
2539,1223,9,2,2022-10-18,,Standard
2540,1223,9,3,2023-10-24,,Standard
2541,1223,9,4,2024-10-22,,Standard
2542,1223,9,5,2025-10-21,,Standard
2543,1239,11,2,2022-10-18,,Standard
2544,1239,11,3,2023-10-24,,Standard
2545,1239,11,4,2024-10-22,,Standard
2546,1239,11,5,2025-10-21,,Standard
2547,2410,16,2,2022-10-18,,Standard
2548,2410,16,3,2023-10-24,,Standard
2549,2410,16,4,2024-10-22,,Standard
2550,2410,16,5,2025-10-21,,Standard
2551,798,14,2,2022-10-18,,Standard
2552,798,14,3,2023-10-24,,Standard
2553,798,14,4,2024-10-22,,Standard
2554,798,7,4,2024-10-22,,Standard
2555,798,7,5,2025-10-21,,Standard
2556,4955,4,2,2022-10-18,,Standard
2557,4955,4,3,2023-10-24,,Standard
2558,4955,4,4,2024-10-22,,Standard
2559,4955,24,5,2025-10-21,,Standard
2560,4282,27,2,2022-10-18,,Standard
2561,4282,27,3,2023-10-24,,Standard
2562,4282,27,4,2024-10-22,,Standard
2563,4282,27,5,2025-10-21,,Standard
2564,4282,20,5,2025-10-21,,Standard
2565,3182,18,2,2022-10-18,,Standard
2566,3182,18,3,2023-10-24,,Standard
2567,3182,9,4,2024-10-22,,Standard
2568,3182,4,4,2024-10-22,,Standard
2569,3182,9,5,2025-10-21,,Standard
2570,566,12,2,2022-10-18,,Standard
2571,566,12,3,2023-10-24,,Standard
2572,768,15,2,2022-10-18,,Standard
2573,768,29,5,2025-10-21,,Standard
2574,4936,21,2,2022-10-18,,Standard
