full_name,team_name,position,season,avg_pts,avg_reb,avg_ast,per
De'Aaron Fox,Sacramento Kings,SG,2022-23,25.01,4.19,6.12,23.50
Jalen Smith,Indiana Pacers,PF,2023-24,8.84,4.96,0.93,23.49
Kyrie Irving,Dallas Mavericks,SG,2023-24,25.64,5.00,5.16,23.48
Kyrie Irving,Dallas Mavericks,SG,2022-23,26.95,5.00,6.00,23.46
Donta Hall,Orlando Magic,C,2020-21,4.87,4.13,0.73,23.46
Neemias Queta,Boston Celtics,C,2023-24,3.14,2.49,0.41,23.43
Danilo Gallinari,Detroit Pistons,SF,2023-24,5.20,1.40,1.20,23.37
Tony Bradley,Oklahoma City Thunder,C,2020-21,7.07,5.00,0.74,23.34
Steven Adams,Oklahoma City Thunder,C,2019-20,10.69,9.11,2.28,23.32
CJ McCollum,New Orleans Pelicans,SG,2021-22,24.27,4.46,5.85,23.29
Wendell Carter Jr.,Orlando Magic,C,2021-22,14.11,9.82,2.59,23.26
Jayson Tatum,Boston Celtics,SG,2020-21,25.64,7.15,4.18,23.24
Greg Monroe,Minnesota Timberwolves,PF,2021-22,4.14,3.43,2.29,23.23
Willy Hernangomez,New Orleans Pelicans,C,2020-21,5.07,4.64,0.69,23.22
Scottie Barnes,Toronto Raptors,SG,2023-24,19.85,8.23,6.05,23.19
DeMar DeRozan,San Antonio Spurs,SG,2019-20,21.49,5.36,5.43,23.15
Montrezl Harrell,Charlotte Hornets,PF,2021-22,10.96,4.69,1.88,23.14
Shai Gilgeous-Alexander,Oklahoma City Thunder,SG,2020-21,19.76,3.95,4.93,23.14
Devin Booker,Phoenix Suns,SG,2023-24,27.07,4.53,6.94,23.11
Isaiah Hartenstein,Los Angeles Clippers,C,2021-22,8.04,4.74,2.29,23.10
Bobby Portis,Milwaukee Bucks,SF,2020-21,11.09,6.85,1.04,23.08
Julius Randle,New York Knicks,PF,2022-23,25.14,9.96,4.10,23.07
Rudy Gobert,Minnesota Timberwolves,C,2022-23,12.86,11.15,1.19,23.06
Kristaps Porziņģis,Dallas Mavericks,PF,2021-22,18.69,7.46,1.97,23.05
Rudy Gobert,Minnesota Timberwolves,C,2023-24,13.43,12.43,1.29,23.04
Tony Bradley,Philadelphia 76ers,C,2020-21,2.48,2.36,0.39,23.03
Jimmy Butler III,Miami Heat,SF,2023-24,19.17,4.89,4.58,23.00
Stephen Curry,Golden State Warriors,SG,2023-24,26.43,4.46,5.12,22.98
Ben Simmons,Philadelphia 76ers,SG,2019-20,16.44,7.79,7.98,22.97
Jarrett Allen,Cleveland Cavaliers,C,2020-21,13.18,9.92,1.69,22.96
Bobby Portis,Milwaukee Bucks,SF,2022-23,13.90,9.46,1.48,22.94
Jalen Smith,Indiana Pacers,PF,2021-22,11.35,6.46,0.69,22.93
Devin Booker,Phoenix Suns,SG,2022-23,26.27,4.29,5.23,22.93
Nikola Vučević,Chicago Bulls,C,2021-22,17.64,11.01,3.23,22.93
Mark Williams,Charlotte Hornets,C,2022-23,6.14,4.83,0.29,22.92
Jonathan Isaac,Orlando Magic,SF,2022-23,4.58,3.67,0.50,22.86
Frank Kaminsky,Phoenix Suns,PF,2021-22,7.31,3.15,1.00,22.85
Robert Williams III,Boston Celtics,C,2022-23,7.97,8.34,1.43,22.83
Deandre Ayton,Portland Trail Blazers,C,2023-24,16.43,10.88,1.61,22.83
Chris Paul,Phoenix Suns,SG,2020-21,15.96,4.33,8.64,22.82
Christian Wood,Dallas Mavericks,SF,2022-23,15.91,7.01,1.73,22.82
Chris Paul,Oklahoma City Thunder,SG,2019-20,17.60,4.99,6.74,22.80
Day'Ron Sharpe,Brooklyn Nets,C,2023-24,5.85,5.48,1.20,22.79
Hassan Whiteside,Sacramento Kings,C,2020-21,5.43,3.98,0.37,22.77
Kevin Love,Cleveland Cavaliers,PF,2019-20,16.73,9.27,3.02,22.76
Devin Booker,Phoenix Suns,SG,2021-22,23.36,4.38,4.22,22.76
Kevin Love,Miami Heat,PF,2023-24,7.82,5.45,1.85,22.75
Zach LaVine,Chicago Bulls,SG,2020-21,27.43,4.98,4.86,22.72
Deandre Ayton,Phoenix Suns,C,2020-21,14.45,10.54,1.43,22.70
Kyle O'Quinn,Philadelphia 76ers,C,2019-20,1.59,1.81,0.80,22.69
LaMelo Ball,Charlotte Hornets,SG,2021-22,19.84,6.59,7.51,22.68
